scene_id,condition,strategy,run_number,model,raw_node_precision,raw_node_recall,raw_node_f1,raw_edge_precision,raw_edge_recall,raw_edge_f1,final_node_precision,final_node_recall,final_node_f1,final_edge_precision,final_edge_recall,final_edge_f1,gold_node_count,gold_edge_count,raw_node_count,raw_edge_count,final_node_count,final_edge_count,ontology_conformance,relation_hallucination_rate,subject_hallucinations,object_hallucinations,evidence_hallucinations,schema_invalid_relations,runtime_seconds,execution_error,llm_extracted_edges,fallback_edges
indego_user_15_user_1_0111_1_s1,raw,one_shot,2,llama3.1:8b,0.1333,0.069,0.0909,0.0,0.0,0.0,0.1333,0.069,0.0909,0.0,0.0,0.0,29,41,15,1,15,14,1.0,0.0,0,8,7,0,107.2243,,1,21
indego_user_16_user_2_0111_1_s1,raw,one_shot,1,llama3.1:8b,0.12,0.1071,0.1132,0.0,0.0,0.0,0.12,0.1071,0.1132,0.0,0.0,0.0,28,36,25,3,25,32,1.0,0.0,0,17,16,0,136.8002,,3,46
indego_user_16_user_2_0111_1_s1,raw,one_shot,2,llama3.1:8b,0.12,0.1071,0.1132,0.0,0.0,0.0,0.12,0.1071,0.1132,0.0,0.0,0.0,28,36,25,3,25,32,1.0,0.0,0,17,16,0,134.903,,3,46
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,one_shot,1,llama3.1:8b,0.25,0.6667,0.3636,0.0,0.0,0.0,0.25,0.6667,0.3636,0.25,0.5,0.3333,3,2,8,2,8,4,1.0,0.0,0,0,1,0,77.4931,,2,4
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,one_shot,2,llama3.1:8b,0.25,0.6667,0.3636,0.0,0.0,0.0,0.25,0.6667,0.3636,0.25,0.5,0.3333,3,2,8,2,8,4,1.0,0.0,0,0,1,0,65.7382,,2,4
indego_user_15_411_2309_2_1_s1,raw,one_shot,1,llama3.1:8b,0.1818,0.125,0.1481,0.0,0.0,0.0,0.1818,0.125,0.1481,0.0,0.0,0.0,16,24,11,3,11,10,1.0,0.0,0,4,3,0,90.1072,,3,11
indego_user_15_411_2309_2_1_s1,raw,one_shot,2,llama3.1:8b,0.1818,0.125,0.1481,0.0,0.0,0.0,0.1818,0.125,0.1481,0.0,0.0,0.0,16,24,11,3,11,10,1.0,0.0,0,4,3,0,72.9212,,3,11
indego_user_14_user_1_1410_2_s1,raw,one_shot,1,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,25,22,1,22,20,1.0,0.0,0,16,15,0,135.1716,,1,35
indego_user_14_user_1_1410_2_s1,raw,one_shot,2,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,25,22,1,22,20,1.0,0.0,0,16,15,0,118.8725,,1,35
indego_user_14_user_15_2410_1_s1,raw,one_shot,1,llama3.1:8b,0.1818,0.1111,0.1379,0.0,0.0,0.0,0.1818,0.1111,0.1379,0.0,0.0,0.0,18,19,11,5,11,12,1.0,0.0,0,7,0,0,113.0917,,5,11
indego_user_14_user_15_2410_1_s1,raw,one_shot,2,llama3.1:8b,0.1818,0.1111,0.1379,0.0,0.0,0.0,0.1818,0.1111,0.1379,0.0,0.0,0.0,18,19,11,5,11,12,1.0,0.0,0,7,0,0,92.2066,,5,11
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,raw,one_shot,1,llama3.1:8b,0.2,0.1053,0.1379,0.0,0.0,0.0,0.2,0.1053,0.1379,0.0,0.0,0.0,19,21,10,0,10,10,1.0,0.0,0,0,4,0,45.2762,,0,15
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,raw,one_shot,2,llama3.1:8b,0.2,0.1053,0.1379,0.0,0.0,0.0,0.2,0.1053,0.1379,0.0,0.0,0.0,19,21,10,0,10,10,1.0,0.0,0,0,4,0,39.8167,,0,15
indego_user_15_411_2309_2_s1,raw,one_shot,1,llama3.1:8b,0.1667,0.1053,0.129,0.0,0.0,0.0,0.1667,0.1053,0.129,0.0,0.0,0.0,19,26,12,5,12,16,1.0,0.0,0,6,5,0,86.999,,5,17
indego_user_15_411_2309_2_s1,raw,one_shot,2,llama3.1:8b,0.1667,0.1053,0.129,0.0,0.0,0.0,0.1667,0.1053,0.129,0.0,0.0,0.0,19,26,12,5,12,16,1.0,0.0,0,6,5,0,81.0262,,5,17
indego_user_15_412_2509_1_s1,raw,one_shot,1,llama3.1:8b,0.1111,0.0625,0.08,0.0,0.0,0.0,0.1111,0.0625,0.08,0.0,0.0,0.0,32,42,18,3,18,21,1.0,0.0,0,10,9,0,113.184,,3,28
indego_user_15_412_2509_1_s1,raw,one_shot,2,llama3.1:8b,0.1111,0.0625,0.08,0.0,0.0,0.0,0.1111,0.0625,0.08,0.0,0.0,0.0,32,42,18,3,18,21,1.0,0.0,0,10,9,0,66.2051,,3,28
indego_user_14_user_16_407_1712_1_s1,raw,one_shot,1,llama3.1:8b,0.6154,0.6154,0.6154,0.0,0.0,0.0,0.6154,0.6154,0.6154,0.3125,0.3846,0.3448,13,13,13,5,13,16,1.0,0.0,0,7,6,0,59.7264,,5,18
indego_user_14_user_16_407_1712_1_s1,raw,one_shot,2,llama3.1:8b,0.6154,0.6154,0.6154,0.0,0.0,0.0,0.6154,0.6154,0.6154,0.3125,0.3846,0.3448,13,13,13,5,13,16,1.0,0.0,0,7,6,0,52.9103,,5,18
indego_user_14_407_0110_1_s1,raw,one_shot,1,llama3.1:8b,0.1111,0.0345,0.0526,0.0,0.0,0.0,0.1111,0.0345,0.0526,0.0,0.0,0.0,29,41,9,2,9,6,1.0,0.0,0,4,3,0,55.1556,,2,8
indego_user_14_407_0110_1_s1,raw,one_shot,2,llama3.1:8b,0.1111,0.0345,0.0526,0.0,0.0,0.0,0.1111,0.0345,0.0526,0.0,0.0,0.0,29,41,9,2,9,6,1.0,0.0,0,4,3,0,59.6259,,2,8
indego_user_15_412_0110_1_s1,raw,one_shot,1,llama3.1:8b,0.25,0.0976,0.1404,0.0,0.0,0.0,0.25,0.0976,0.1404,0.0,0.0,0.0,41,54,16,6,16,23,1.0,0.0,0,11,10,0,151.8346,,6,28
indego_user_15_412_0110_1_s1,raw,one_shot,2,llama3.1:8b,0.25,0.0976,0.1404,0.0,0.0,0.0,0.25,0.0976,0.1404,0.0,0.0,0.0,41,54,16,6,16,23,1.0,0.0,0,11,10,0,118.4468,,6,28
indego_user_14_user_15_411_1010_1_s1,raw,one_shot,1,llama3.1:8b,0.1667,0.04,0.0645,0.0,0.0,0.0,0.1667,0.04,0.0645,0.0,0.0,0.0,25,31,6,2,6,2,1.0,0.0,0,3,0,0,61.2492,,2,3
indego_user_14_user_15_411_1010_1_s1,raw,one_shot,2,llama3.1:8b,0.1667,0.04,0.0645,0.0,0.0,0.0,0.1667,0.04,0.0645,0.0,0.0,0.0,25,31,6,2,6,2,1.0,0.0,0,3,0,0,47.6569,,2,3
indego_user_2_407_2910_1_s1,raw,one_shot,1,llama3.1:8b,0.4286,0.1,0.1622,0.0,0.0,0.0,0.4286,0.1,0.1622,0.0,0.0,0.0,30,42,7,4,7,7,1.0,0.0,0,2,1,0,71.593,,4,5
indego_user_2_407_2910_1_s1,raw,one_shot,2,llama3.1:8b,0.4286,0.1,0.1622,0.0,0.0,0.0,0.4286,0.1,0.1622,0.0,0.0,0.0,30,42,7,4,7,7,1.0,0.0,0,2,1,0,46.1068,,4,5
indego_user_14_412_02024_1_s1,raw,one_shot,1,llama3.1:8b,0.3077,0.1905,0.2353,0.0,0.0,0.0,0.3077,0.1905,0.2353,0.0,0.0,0.0,21,27,13,4,13,20,1.0,0.0,0,9,8,0,74.426,,4,25
indego_user_14_412_02024_1_s1,raw,one_shot,2,llama3.1:8b,0.3077,0.1905,0.2353,0.0,0.0,0.0,0.3077,0.1905,0.2353,0.0,0.0,0.0,21,27,13,4,13,19,1.0,0.0,0,9,8,0,91.2406,,4,24
indego_user_14_412_02024_2_s1,raw,one_shot,1,llama3.1:8b,0.1818,0.2353,0.2051,0.0,0.0,0.0,0.1818,0.2353,0.2051,0.0286,0.0455,0.0351,17,22,22,8,22,35,1.0,0.0,0,15,14,0,125.1514,,8,42
indego_user_14_412_02024_2_s1,raw,one_shot,2,llama3.1:8b,0.1818,0.2353,0.2051,0.0,0.0,0.0,0.1818,0.2353,0.2051,0.0286,0.0455,0.0351,17,22,22,8,22,35,1.0,0.0,0,15,14,0,113.3502,,8,42
indego_user_17_user_15_451_0402_1_s3,raw,one_shot,1,llama3.1:8b,0.9091,1.0,0.9524,0.0,0.0,0.0,0.9091,1.0,0.9524,0.8125,0.9286,0.8667,10,14,11,2,11,16,1.0,0.0,0,8,7,0,60.6529,,2,21
indego_user_17_user_15_451_0402_1_s3,raw,one_shot,2,llama3.1:8b,0.9091,1.0,0.9524,0.0,0.0,0.0,0.9091,1.0,0.9524,0.8125,0.9286,0.8667,10,14,11,2,11,16,1.0,0.0,0,8,7,0,50.4102,,2,21
indego_user_14_411_2409_1_s1,raw,one_shot,1,llama3.1:8b,0.5,0.3235,0.3929,0.0,0.0,0.0,0.5,0.3235,0.3929,0.1,0.0652,0.0789,34,46,22,8,22,30,1.0,0.0,0,12,11,0,157.2104,,8,34
indego_user_14_411_2409_1_s1,raw,one_shot,2,llama3.1:8b,0.5,0.3235,0.3929,0.0,0.0,0.0,0.5,0.3235,0.3929,0.1,0.0652,0.0789,34,46,22,8,22,30,1.0,0.0,0,12,11,0,146.7866,,8,34
indego_user_14_414_1712_woodworking_2_s1,raw,one_shot,1,llama3.1:8b,0.25,0.1364,0.1765,0.0,0.0,0.0,0.25,0.1364,0.1765,0.0,0.0,0.0,22,26,12,1,12,9,1.0,0.0,0,7,6,0,79.9502,,1,15
indego_user_14_414_1712_woodworking_2_s1,raw,one_shot,2,llama3.1:8b,0.25,0.1364,0.1765,0.0,0.0,0.0,0.25,0.1364,0.1765,0.0,0.0,0.0,22,26,12,1,12,9,1.0,0.0,0,7,6,0,69.3248,,1,15
indego_user_15_414_0702_1_s11,raw,one_shot,1,llama3.1:8b,0.0714,0.0714,0.0714,0.0,0.0,0.0,0.0714,0.0714,0.0714,0.0,0.0,0.0,14,16,14,2,14,15,1.0,0.0,0,8,7,0,95.8944,,2,20
indego_user_15_414_0702_1_s11,raw,one_shot,2,llama3.1:8b,0.0714,0.0714,0.0714,0.0,0.0,0.0,0.0714,0.0714,0.0714,0.0,0.0,0.0,14,16,14,2,14,15,1.0,0.0,0,8,7,0,78.2995,,2,20
indego_warning_A_Task_08_s1,raw,one_shot,1,llama3.1:8b,0.6667,0.5,0.5714,0.0,0.0,0.0,0.6667,0.5,0.5714,0.0,0.0,0.0,8,5,6,0,6,6,1.0,0.0,0,4,3,0,35.6987,,0,10
indego_warning_A_Task_08_s1,raw,one_shot,2,llama3.1:8b,0.6667,0.5,0.5714,0.0,0.0,0.0,0.6667,0.5,0.5714,0.0,0.0,0.0,8,5,6,0,6,6,1.0,0.0,0,4,3,0,32.4286,,0,10
indego_warning_A_Task_19_s1,raw,one_shot,1,llama3.1:8b,1.0,1.0,1.0,0.8333,0.8333,0.8333,1.0,1.0,1.0,0.5,1.0,0.6667,8,6,8,6,8,12,1.0,0.0,0,6,5,0,43.1272,,6,12
indego_warning_A_Task_19_s1,raw,one_shot,2,llama3.1:8b,1.0,1.0,1.0,0.8333,0.8333,0.8333,1.0,1.0,1.0,0.5,1.0,0.6667,8,6,8,6,8,12,1.0,0.0,0,6,5,0,39.8891,,6,12
indego_user_16_414_2101_1_s2,raw,layered,1,llama3.1:8b,0.35,0.2414,0.2857,0.0588,0.0333,0.0426,0.35,0.2414,0.2857,0.05,0.0333,0.04,29,30,20,17,20,20,1.0,0.0,0,11,0,0,137.1472,,17,14
indego_user_16_414_2101_1_s2,raw,layered,2,llama3.1:8b,0.35,0.2414,0.2857,0.0588,0.0333,0.0426,0.35,0.2414,0.2857,0.05,0.0333,0.04,29,30,20,17,20,20,1.0,0.0,0,11,0,0,123.5907,,17,14
indego_user_14_1410_2110_2_s2,raw,layered,1,llama3.1:8b,0.1786,0.2381,0.2041,0.0,0.0,0.0,0.1786,0.2381,0.2041,0.0,0.0,0.0,21,23,28,19,28,40,1.0,0.0,0,19,18,0,177.9904,,19,39
indego_user_14_1410_2110_2_s2,raw,layered,2,llama3.1:8b,0.1786,0.2381,0.2041,0.0,0.0,0.0,0.1786,0.2381,0.2041,0.0,0.0,0.0,21,23,28,19,28,40,1.0,0.0,0,19,18,0,164.9208,,19,39
indego_user_14_user_17_411_2810_table_assembly_s1,raw,layered,1,llama3.1:8b,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,8,6,8,9,8,10,1.0,0.0,0,4,0,0,51.7156,,9,5
indego_user_14_user_17_411_2810_table_assembly_s1,raw,layered,2,llama3.1:8b,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,8,6,8,9,8,10,1.0,0.0,0,4,0,0,44.8917,,9,5
indego_user_15_user_17_410_2210_2_s1,raw,layered,1,llama3.1:8b,0.3333,0.25,0.2857,0.0,0.0,0.0,0.3333,0.25,0.2857,0.0,0.0,0.0,8,9,6,5,6,5,1.0,0.0,0,3,0,0,40.3512,,5,3
indego_user_15_user_17_410_2210_2_s1,raw,layered,2,llama3.1:8b,0.3333,0.25,0.2857,0.0,0.0,0.0,0.3333,0.25,0.2857,0.0,0.0,0.0,8,9,6,3,6,5,1.0,0.0,0,3,2,0,31.4479,,3,5
indego_user_16_410_2110_2_s2,raw,layered,1,llama3.1:8b,0.2083,0.1471,0.1724,0.0,0.0,0.0,0.2083,0.1471,0.1724,0.0,0.0,0.0,34,41,24,23,24,24,1.0,0.0,0,13,1,0,159.1215,,23,14
indego_user_16_410_2110_2_s2,raw,layered,2,llama3.1:8b,0.2083,0.1471,0.1724,0.0,0.0,0.0,0.2083,0.1471,0.1724,0.0,0.0,0.0,34,41,24,23,24,24,1.0,0.0,0,13,1,0,148.4842,,23,14
indego_user_14_user_2_407_2210_1_s1,raw,layered,1,llama3.1:8b,0.1111,0.125,0.1176,0.0,0.0,0.0,0.1111,0.125,0.1176,0.0,0.0,0.0,8,8,9,5,9,10,1.0,0.0,0,4,3,0,55.9168,,5,9
indego_user_14_user_2_407_2210_1_s1,raw,layered,2,llama3.1:8b,0.0909,0.125,0.1053,0.0,0.0,0.0,0.0909,0.125,0.1053,0.0,0.0,0.0,8,8,11,3,11,10,1.0,0.0,0,5,4,0,57.0181,,3,12
indego_user_16_414_2101_1_s1,raw,layered,1,llama3.1:8b,0.375,0.3,0.3333,0.0,0.0,0.0,0.375,0.3,0.3333,0.0,0.0,0.0,10,9,8,7,8,7,1.0,0.0,0,5,1,0,57.8841,,7,5
indego_user_16_414_2101_1_s1,raw,layered,2,llama3.1:8b,0.375,0.3,0.3333,0.0,0.0,0.0,0.375,0.3,0.3333,0.0,0.0,0.0,10,9,8,7,8,7,1.0,0.0,0,5,1,0,50.1825,,7,5
indego_user_15_451_2401_1_s4,raw,layered,1,llama3.1:8b,0.3077,0.186,0.2319,0.1333,0.0392,0.0606,0.3077,0.186,0.2319,0.0833,0.0588,0.069,43,51,26,15,26,36,1.0,0.0,0,15,14,0,134.5537,,15,36
indego_user_15_451_2401_1_s4,raw,layered,2,llama3.1:8b,0.3077,0.186,0.2319,0.1333,0.0392,0.0606,0.3077,0.186,0.2319,0.0833,0.0588,0.069,43,51,26,15,26,36,1.0,0.0,0,15,14,0,121.7836,,15,36
indego_user_15_414_0702_1_s1,raw,layered,1,llama3.1:8b,0.25,0.2083,0.2273,0.2222,0.0625,0.0976,0.25,0.2083,0.2273,0.125,0.0625,0.0833,24,32,20,9,20,16,1.0,0.0,0,12,0,0,110.9754,,9,19
indego_user_15_414_0702_1_s1,raw,layered,2,llama3.1:8b,0.25,0.2083,0.2273,0.2222,0.0625,0.0976,0.25,0.2083,0.2273,0.125,0.0625,0.0833,24,32,20,9,20,16,1.0,0.0,0,12,0,0,101.3541,,9,19
indego_user_14_414_2609_1_s1,raw,layered,1,llama3.1:8b,0.1875,0.1034,0.1333,0.0,0.0,0.0,0.1875,0.1034,0.1333,0.0,0.0,0.0,29,38,16,9,16,18,1.0,0.0,0,7,0,0,99.1741,,9,16
indego_user_14_414_2609_1_s1,raw,layered,2,llama3.1:8b,0.1875,0.1034,0.1333,0.0,0.0,0.0,0.1875,0.1034,0.1333,0.0,0.0,0.0,29,38,16,9,16,18,1.0,0.0,0,7,0,0,88.219,,9,16
indego_user_15_user_1_0111_1_s1,raw,layered,1,llama3.1:8b,0.2,0.1034,0.1364,0.0,0.0,0.0,0.2,0.1034,0.1364,0.0,0.0,0.0,29,41,15,10,15,14,1.0,0.0,0,7,0,0,88.6106,,10,11
indego_user_15_user_1_0111_1_s1,raw,layered,2,llama3.1:8b,0.2,0.1034,0.1364,0.0,0.0,0.0,0.2,0.1034,0.1364,0.0,0.0,0.0,29,41,15,10,15,14,1.0,0.0,0,7,0,0,78.598,,10,11
